id,revenue
3001,35907653.77336128
3002,17903825.66840251
3003,8340697.880508406
3004,33559704.53334659
3005,1693170.1956611057
3006,4574838.78630194
3007,13349606.468391236
3008,67342871.82313852
3009,59531698.65536103
3010,343068931.2051888
3011,-5886672.700622324
3012,162706.0492648496
3013,31872950.281916987
3014,4539324.1927909255
3015,30339896.214952536
3016,1631060.8185967114
3017,133364126.6721989
3018,90081355.43692853
3019,25245554.967832323
3020,777092843.2223082
3021,39235936.11424122
3022,96382110.91152324
3023,9193749.754211105
3024,47245498.08632001
3025,-4933641.976647256
3026,149039112.51330414
3027,9589877.91617292
3028,95432244.94062223
3029,3543942.793347544
3030,36868048.57839796
3031,19148503.976503868
3032,7921603.023302602
3033,3044923.089777822
3034,-3066322.6867889133
3035,-6492053.762408153
3036,13525970.203480208
3037,95962572.13898055
3038,84214013.72414634
3039,6654069.057749135
3040,2441995.243105483
3041,30120678.00666674
3042,-2400437.5387200713
3043,64784540.049161285
3044,311536.5454922196
3045,611284678.6741723
3046,-2920625.980656292
3047,12021999.286999283
3048,28732029.116499994
3049,40790651.627961904
3050,51655105.30215052
3051,7294977.510113492
3052,18008338.92384478
3053,331153.8554098855
3054,8125802.218614611
3055,85865159.70525959
3056,1720337.91491243
3057,91333565.09346373
3058,465196420.70639974
3059,-698301.1385366396
3060,131001417.34384206
3061,79061009.85458273
3062,52109127.506455384
3063,49812801.321601495
3064,36694606.04848991
3065,45227040.71984742
3066,123943434.11228804
3067,-18848761.938439876
3068,62817221.46297054
3069,284525788.7996396
3070,2668281.0126984934
3071,5173963.660648614
3072,593654018.4597481
3073,5062822.27998766
3074,-4158121.651390081
3075,55493451.16015339
3076,235911394.17616272
3077,55659666.32222478
3078,139119404.40732154
3079,63404470.82609302
3080,127533478.33306055
3081,40263214.5725547
3082,16792123.34321354
3083,15452030.126487682
3084,-138498.1309680836
3085,44989736.24733081
3086,88190315.20669034
3087,-5444996.754183118
3088,-4266497.106445184
3089,-10611746.95447
3090,24930524.66933579
3091,44258224.89362236
3092,-1040093.1688257697
3093,244989268.39094225
3094,92576997.00246643
3095,114694246.4711078
3096,5224607.9167423425
3097,987883859.5248601
3098,31140497.43249645
3099,60051118.12382906
3100,-1463412.9533045976
3101,26968704.90833991
3102,9836970.069365153
3103,789832.5303353717
3104,2635581.6700743907
3105,126000451.79641463
3106,88995709.77286944
3107,57132096.90881384
3108,10537378.243802616
3109,24200475.273341812
3110,260796151.18729833
3111,8215534.35259141
3112,-6570923.352159082
3113,35131097.80730343
3114,19797999.91312131
3115,7507763.909001375
3116,41905527.72275087
3117,865744.5315962826
3118,-711734.0590021639
3119,157498638.706452
3120,158412210.55003348
3121,7977905.911878796
3122,21546144.525782462
3123,11664140.532926373
3124,-2294487.7701468687
3125,3293990.7118281624
3126,59648144.1379333
3127,29237992.480477888
3128,30095585.1614788
3129,340795192.9426225
3130,16921441.414688814
3131,-2715945.3708287906
